Entity,Code,Day,Estimated share of working-age adults who use generative AI,GDP per capita,World region according to OWID
Afghanistan,AFG,2025-06-30,5.1,1964.4523,Asia
Afghanistan,AFG,2025-12-31,5.6,1964.4523,Asia
Afghanistan,AFG,2026-03-31,6.1,1964.4523,Asia
Albania,ALB,2025-06-30,15.8,22724.293,Europe
Albania,ALB,2025-12-31,16.5,22724.293,Europe
Albania,ALB,2026-03-31,18.5,22724.293,Europe
Algeria,DZA,2025-06-30,11.3,15882.714,Africa
Algeria,DZA,2025-12-31,12,15882.714,Africa
Algeria,DZA,2026-03-31,13.2,15882.714,Africa
Angola,AGO,2025-06-30,8.9,8760.19,Africa
Angola,AGO,2025-12-31,9.7,8760.19,Africa
Angola,AGO,2026-03-31,10.9,8760.19,Africa
Argentina,ARG,2025-06-30,17.8,27846.598,South America
Argentina,ARG,2025-12-31,19.6,27846.598,South America
Argentina,ARG,2026-03-31,21.9,27846.598,South America
Armenia,ARM,2025-06-30,6.2,21153.479,Asia
Armenia,ARM,2025-12-31,6.6,21153.479,Asia
Armenia,ARM,2026-03-31,7.4,21153.479,Asia
Australia,AUS,2025-06-30,34.5,60194.062,Oceania
Australia,AUS,2025-12-31,36.9,60194.062,Oceania
Australia,AUS,2026-03-31,39.5,60194.062,Oceania
Austria,AUT,2025-06-30,29.1,63970.402,Europe
Austria,AUT,2025-12-31,31.4,63970.402,Europe
Austria,AUT,2026-03-31,34.1,63970.402,Europe
Azerbaijan,AZE,2025-06-30,14.2,22314.217,Asia
Azerbaijan,AZE,2025-12-31,15.5,22314.217,Asia
Azerbaijan,AZE,2026-03-31,17.7,22314.217,Asia
Bangladesh,BGD,2025-06-30,6.5,8676.756,Asia
Bangladesh,BGD,2025-12-31,7.1,8676.756,Asia
Bangladesh,BGD,2026-03-31,7.8,8676.756,Asia
Belarus,BLR,2025-06-30,7.6,29666.21,Europe
Belarus,BLR,2025-12-31,8.4,29666.21,Europe
Belarus,BLR,2026-03-31,9.6,29666.21,Europe
Belgium,BEL,2025-06-30,33.5,63488.42,Europe
