시작일,종료일,직업,직업코드,분류단계,AI 사용 비율(%)
2026-04-01,2026-05-01,Computer and Mathematical,15,1,23.95
2026-05-01,2026-06-01,Computer and Mathematical,15,1,23.8
2026-05-01,2026-06-01,"Arts, Design, Entertainment, Sports, and Media",27,1,13.55
2026-04-01,2026-05-01,"Arts, Design, Entertainment, Sports, and Media",27,1,12.99
2026-05-01,2026-06-01,Educational Instruction and Library,25,1,12.79
2026-04-01,2026-05-01,Educational Instruction and Library,25,1,11.89
2026-05-01,2026-06-01,Sales and Related,41,1,9.14
2026-04-01,2026-05-01,Sales and Related,41,1,8.29
2026-05-01,2026-06-01,Office and Administrative Support,43,1,7.89
2026-04-01,2026-05-01,Office and Administrative Support,43,1,7.37
2026-05-01,2026-06-01,Management,11,1,5.9
2026-05-01,2026-06-01,Business and Financial Operations,13,1,5.77
2026-04-01,2026-05-01,Management,11,1,5.63
2026-04-01,2026-05-01,Business and Financial Operations,13,1,5.47
2026-05-01,2026-06-01,Document Management Specialists,15-1299.03,0,5.1
2026-04-01,2026-05-01,Document Management Specialists,15-1299.03,0,4.84
2026-04-01,2026-05-01,"Life, Physical, and Social Science",19,1,4.54
2026-05-01,2026-06-01,"Life, Physical, and Social Science",19,1,4.51
2026-05-01,2026-06-01,Librarians and Media Collections Specialists,25-4022.00,0,4.22
2026-04-01,2026-05-01,Librarians and Media Collections Specialists,25-4022.00,0,4.01
2026-05-01,2026-06-01,Architecture and Engineering,17,1,3.56
2026-04-01,2026-05-01,Architecture and Engineering,17,1,3.55
2026-05-01,2026-06-01,Healthcare Practitioners and Technical,29,1,3.31
2026-04-01,2026-05-01,Healthcare Practitioners and Technical,29,1,2.94
2026-05-01,2026-06-01,Counter and Rental Clerks,41-2021.00,0,2.72
2026-05-01,2026-06-01,Editors,27-3041.00,0,2.58
2026-05-01,2026-06-01,Community and Social Service,21,1,2.57
2026-04-01,2026-05-01,Editors,27-3041.00,0,2.44
2026-04-01,2026-05-01,Community and Social Service,21,1,2.44
2026-04-01,2026-05-01,Counter and Rental Clerks,41-2021.00,0,2.4
2026-04-01,2026-05-01,Computer User Support Specialists,15-1232.00,0,2.26
2026-05-01,2026-06-01,Writers and Authors,27-3043.00,0,2.22
2026-04-01,2026-05-01,Writers and Authors,27-3043.00,0,2.18
2026-05-01,2026-06-01,Computer User Support Specialists,15-1232.00,0,2.17
2026-04-01,2026-05-01,Computer Systems Analysts,15-1211.00,0,2.01
2026-05-01,2026-06-01,Computer Systems Analysts,15-1211.00,0,1.91
2026-04-01,2026-05-01,Data Warehousing Specialists,15-1243.01,0,1.71
2026-05-01,2026-06-01,Web and Digital Interface Designers,15-1255.00,0,1.7
2026-04-01,2026-05-01,Computer Programmers,15-1251.00,0,1.68
2026-05-01,2026-06-01,Technical Writers,27-3042.00,0,1.67
2026-05-01,2026-06-01,Computer Programmers,15-1251.00,0,1.67
2026-04-01,2026-05-01,Web and Digital Interface Designers,15-1255.00,0,1.67
2026-05-01,2026-06-01,Data Warehousing Specialists,15-1243.01,0,1.65
2026-05-01,2026-06-01,"News Analysts, Reporters, and Journalists",27-3023.00,0,1.62
2026-04-01,2026-05-01,Technical Writers,27-3042.00,0,1.58
2026-04-01,2026-05-01,"News Analysts, Reporters, and Journalists",27-3023.00,0,1.52
2026-05-01,2026-06-01,Library Technicians,25-4031.00,0,1.5
2026-05-01,2026-06-01,"Poets, Lyricists and Creative Writers",27-3043.05,0,1.49
2026-05-01,2026-06-01,Credit Counselors,13-2071.00,0,1.49
2026-04-01,2026-05-01,"Poets, Lyricists and Creative Writers",27-3043.05,0,1.46
2026-04-01,2026-05-01,Library Technicians,25-4031.00,0,1.43
2026-05-01,2026-06-01,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",41-4012.00,0,1.39
2026-05-01,2026-06-01,"Substitute Teachers, Short-Term",25-3031.00,0,1.38
2026-04-01,2026-05-01,Credit Counselors,13-2071.00,0,1.38
2026-04-01,2026-05-01,Software Quality Assurance Analysts and Testers,15-1253.00,0,1.38
2026-05-01,2026-06-01,Software Quality Assurance Analysts and Testers,15-1253.00,0,1.32
2026-05-01,2026-06-01,Tutors,25-3041.00,0,1.27
2026-04-01,2026-05-01,"Substitute Teachers, Short-Term",25-3031.00,0,1.25
2026-05-01,2026-06-01,Personal Care and Service,39,1,1.23
2026-04-01,2026-05-01,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",41-4012.00,0,1.21
2026-04-01,2026-05-01,Personal Care and Service,39,1,1.16
2026-05-01,2026-06-01,Word Processors and Typists,43-9022.00,0,1.16
2026-04-01,2026-05-01,Tutors,25-3041.00,0,1.1
2026-04-01,2026-05-01,Computer Systems Engineers/Architects,15-1299.08,0,1.08
2026-04-01,2026-05-01,Graphic Designers,27-1024.00,0,1.08
2026-05-01,2026-06-01,Graphic Designers,27-1024.00,0,1.07
2026-04-01,2026-05-01,Word Processors and Typists,43-9022.00,0,1.05
2026-05-01,2026-06-01,Production,51,1,1.04
2026-04-01,2026-05-01,Production,51,1,1.02
2026-05-01,2026-06-01,Legal,23,1,1.02
2026-04-01,2026-05-01,Mathematicians,15-2021.00,0,1.01
2026-05-01,2026-06-01,Instructional Coordinators,25-9031.00,0,1.01
2026-05-01,2026-06-01,Computer Systems Engineers/Architects,15-1299.08,0,1.01
2026-05-01,2026-06-01,Mathematicians,15-2021.00,0,0.98
2026-04-01,2026-05-01,Geographic Information Systems Technologists and Technicians,15-1299.02,0,0.96
2026-05-01,2026-06-01,Cashiers,41-2011.00,0,0.94
2026-05-01,2026-06-01,Interpreters and Translators,27-3091.00,0,0.93
2026-04-01,2026-05-01,Legal,23,1,0.92
2026-04-01,2026-05-01,Instructional Coordinators,25-9031.00,0,0.92
2026-05-01,2026-06-01,Geographic Information Systems Technologists and Technicians,15-1299.02,0,0.91
2026-04-01,2026-05-01,Computer Hardware Engineers,17-2061.00,0,0.9
2026-04-01,2026-05-01,Cashiers,41-2011.00,0,0.88
2026-05-01,2026-06-01,Demonstrators and Product Promoters,41-9011.00,0,0.86
2026-04-01,2026-05-01,Insurance Claims and Policy Processing Clerks,43-9041.00,0,0.85
2026-04-01,2026-05-01,Interpreters and Translators,27-3091.00,0,0.85
2026-05-01,2026-06-01,Cardiologists,29-1212.00,0,0.84
2026-05-01,2026-06-01,Insurance Claims and Policy Processing Clerks,43-9041.00,0,0.84
2026-05-01,2026-06-01,Computer Hardware Engineers,17-2061.00,0,0.83
2026-04-01,2026-05-01,Demonstrators and Product Promoters,41-9011.00,0,0.79
2026-05-01,2026-06-01,"Directors, Religious Activities and Education",21-2021.00,0,0.76
2026-05-01,2026-06-01,"Office Clerks, General",43-9061.00,0,0.76
2026-04-01,2026-05-01,Cardiologists,29-1212.00,0,0.75
2026-05-01,2026-06-01,Clinical and Counseling Psychologists,19-3033.00,0,0.74
2026-05-01,2026-06-01,Sales Engineers,41-9031.00,0,0.73
2026-04-01,2026-05-01,Clinical and Counseling Psychologists,19-3033.00,0,0.73
2026-04-01,2026-05-01,"Directors, Religious Activities and Education",21-2021.00,0,0.71
2026-04-01,2026-05-01,"Office Clerks, General",43-9061.00,0,0.7
2026-04-01,2026-05-01,Sales Engineers,41-9031.00,0,0.69
2026-04-01,2026-05-01,Data Scientists,15-2051.00,0,0.67
2026-05-01,2026-06-01,Advertising and Promotions Managers,11-2011.00,0,0.67
2026-04-01,2026-05-01,Advertising and Promotions Managers,11-2011.00,0,0.66
2026-05-01,2026-06-01,Web Developers,15-1254.00,0,0.64
2026-04-01,2026-05-01,Web Developers,15-1254.00,0,0.64
2026-05-01,2026-06-01,"Installation, Maintenance, and Repair",49,1,0.62
2026-05-01,2026-06-01,Lawyers,23-1011.00,0,0.62
2026-05-01,2026-06-01,Healthcare Support,31,1,0.62
2026-04-01,2026-05-01,Quality Control Analysts,19-4099.01,0,0.61
2026-05-01,2026-06-01,Data Scientists,15-2051.00,0,0.61
2026-05-01,2026-06-01,"Teaching Assistants, Postsecondary",25-9044.00,0,0.6
2026-05-01,2026-06-01,Online Merchants,13-1199.06,0,0.6
2026-05-01,2026-06-01,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014.00,0,0.58
