기간,직업군,AI 사용 비율(%),미국 고용인원,미국 고용인원(만명)
2026-05,컴퓨터·수학 직업,23.8,5260110,526.01
2026-05,예술·디자인·오락·스포츠·미디어 직업,13.55,2046290,204.63
2026-05,교육·훈련·도서관 직업,12.79,10280000,1028.0
2026-05,판매 관련 직업,9.14,13424300,1342.43
2026-05,사무·행정 지원 직업,7.89,17753430,1775.34
2026-05,관리 직업,5.9,11132700,1113.27
2026-05,경영·금융 업무 직업,5.77,10537240,1053.72
2026-05,생명·자연·사회과학 직업,4.51,1473260,147.33
2026-05,건축·공학 직업,3.56,2617130,261.71
2026-05,보건의료 전문·기술 직업,3.31,9823860,982.39
2026-05,지역사회·사회복지 직업,2.57,2668680,266.87
2026-05,개인 돌봄·서비스 직업,1.23,3255790,325.58
2026-05,생산 직업,1.04,8565760,856.58
2026-05,법률 직업,1.02,1305620,130.56
2026-05,보건의료 지원 직업,0.62,7901670,790.17
2026-05,설치·정비·수리 직업,0.62,6086190,608.62
2026-05,식음료 조리·서비스 직업,0.48,13680750,1368.08
2026-05,운송·물류 직업,0.34,13677150,1367.72
2026-05,건물·시설 청소·관리 직업,0.13,4548260,454.83
2026-05,건설·채굴 직업,0.1,6425160,642.52
